trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,3.724839,0.031086,0.036578,0.036808,2.0255,deq,128,28,87976,17.87
0,10,3.052944,0.076852,0.149602,0.220974,2.0255,deq,128,28,87976,17.63
0,20,3.052348,0.076852,0.149602,0.220974,2.0255,deq,128,28,87976,17.67
0,30,2.642419,0.269768,0.339038,0.371582,2.0255,deq,128,28,87976,17.68
0,40,2.738931,0.248623,0.295278,0.272432,2.0255,deq,128,28,87976,17.66
0,50,3.043595,0.076852,0.149602,0.220974,2.0255,deq,128,28,87976,17.7
0,60,2.67987,0.307199,0.36065,0.360554,2.0255,deq,128,28,87976,17.7
0,70,2.396443,0.312829,0.367965,0.397239,2.0255,deq,128,28,87976,17.67
0,80,2.434735,0.264633,0.323367,0.302492,2.0255,deq,128,28,87976,17.67
0,90,2.182296,0.400468,0.444478,0.461597,2.0255,deq,128,28,87976,17.68
0,100,2.032013,0.373583,0.41441,0.442216,2.0255,deq,128,28,87976,17.97
