trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,5.329104,0.077061,0.149804,0.221344,1.1835,revgnn,128,28,491176,6.85
0,10,2.934858,0.305759,0.235948,0.232455,1.1835,revgnn,128,28,491176,6.7
0,20,2.736914,0.280072,0.385885,0.396457,1.1835,revgnn,128,28,491176,6.52
0,30,1.766108,0.536777,0.590355,0.604613,1.1837,revgnn,128,28,491176,6.47
0,40,1.687617,0.533786,0.579583,0.602638,1.1837,revgnn,128,28,491176,6.47
0,50,1.719586,0.542022,0.599852,0.606609,1.1837,revgnn,128,28,491176,6.48
0,60,1.41894,0.612639,0.636028,0.63385,1.1837,revgnn,128,28,491176,6.47
0,70,1.338744,0.628759,0.653982,0.665,1.1837,revgnn,128,28,491176,6.47
0,80,1.35451,0.606327,0.646431,0.64998,1.1837,revgnn,128,28,491176,6.47
0,90,1.289099,0.641097,0.666935,0.666687,1.1837,revgnn,128,28,491176,6.6
0,100,1.229711,0.61022,0.641062,0.652038,1.1837,revgnn,128,28,491176,6.73
