trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,3.639318,0.076896,0.149602,0.220995,1.178,revgnn,128,3,71976,1.16
0,10,2.155703,0.406219,0.423672,0.457112,1.178,revgnn,128,3,71976,0.81
0,20,1.574206,0.540427,0.573308,0.589922,1.1781,revgnn,128,3,71976,0.82
0,30,1.376235,0.581124,0.613578,0.635125,1.1783,revgnn,128,3,71976,0.82
0,40,1.296174,0.602621,0.642941,0.647491,1.1783,revgnn,128,3,71976,0.83
0,50,1.288021,0.629672,0.662505,0.661852,1.1783,revgnn,128,3,71976,0.81
0,60,1.229587,0.637138,0.670761,0.678003,1.1783,revgnn,128,3,71976,0.8
0,70,1.185043,0.65912,0.67358,0.663334,1.1783,revgnn,128,3,71976,0.8
0,80,1.165896,0.662913,0.675828,0.659321,1.1783,revgnn,128,3,71976,0.8
0,90,1.138934,0.664222,0.6916,0.691727,1.1783,revgnn,128,3,71976,0.86
0,100,1.119695,0.666036,0.686097,0.692817,1.1783,revgnn,128,3,71976,0.84
