trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,13.345044,0.079436,0.160207,0.154353,1.7648,wt-resgnn,128,28,54824,4.13
0,10,5.564759,0.326047,0.369375,0.359361,1.7648,wt-resgnn,128,28,54824,3.84
0,20,2.716989,0.353152,0.319407,0.363558,1.7648,wt-resgnn,128,28,54824,3.84
0,30,2.777854,0.434117,0.518809,0.51147,1.7648,wt-resgnn,128,28,54824,3.93
0,40,1.849102,0.534489,0.578778,0.583585,1.7648,wt-resgnn,128,28,54824,3.86
0,50,1.618093,0.484259,0.496929,0.505072,1.7648,wt-resgnn,128,28,54824,3.86
0,60,1.403405,0.574834,0.606329,0.623994,1.7648,wt-resgnn,128,28,54824,3.87
0,70,1.403399,0.577385,0.610826,0.614283,1.7648,wt-resgnn,128,28,54824,3.88
0,80,1.366636,0.597937,0.640491,0.646956,1.7648,wt-resgnn,128,28,54824,3.87
0,90,1.299941,0.582773,0.59898,0.616917,1.7648,wt-resgnn,128,28,54824,3.9
0,100,1.42119,0.585138,0.633243,0.638459,1.7648,wt-resgnn,128,28,54824,3.87
