trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,3.92913,0.117879,0.234706,0.261013,1.1756,wt-revgnn,128,3,38440,1.13
0,10,2.196629,0.407209,0.424142,0.415777,1.1756,wt-revgnn,128,3,38440,0.81
0,20,1.572248,0.53262,0.577335,0.606012,1.1756,wt-revgnn,128,3,38440,0.81
0,30,1.534197,0.578232,0.616766,0.626381,1.1756,wt-revgnn,128,3,38440,0.82
0,40,1.355329,0.606712,0.643277,0.661338,1.1756,wt-revgnn,128,3,38440,0.81
0,50,1.281405,0.623426,0.654351,0.66537,1.1756,wt-revgnn,128,3,38440,0.81
0,60,1.312681,0.631673,0.657472,0.669588,1.1756,wt-revgnn,128,3,38440,0.81
0,70,1.270121,0.637996,0.666801,0.669712,1.1756,wt-revgnn,128,3,38440,0.8
0,80,1.220278,0.627825,0.650492,0.662799,1.1756,wt-revgnn,128,3,38440,0.81
0,90,1.163902,0.649608,0.668814,0.67788,1.1756,wt-revgnn,128,3,38440,0.8
0,100,1.170747,0.664442,0.683546,0.687427,1.1756,wt-revgnn,128,3,38440,0.81
